Urdu,Pronuncation,English
کے طور پر,ke taur par,as
میں,main,I
ان,in,his
کہ,ke,that
وہ,woh,he
تھا,tha,was
کے لئے,ke liye,for
پر,par,on
ہیں,hain,are
کے ساتھ,ke sath,with
وہ,woh,they
ہو,ho,be
میں,mein,at
ایک,ek,one
ہے,hai,have
اس,is,this
سے,se,from
کی طرف سے,ki taraf se,by
گرم، شہوت انگیز,garm,hot
لفظ,lafz,word
لیکن,lekin,but
کیا,kya,what
کچھ,kuch,some
ہے,hai,is
یہ,ye,it
آپ,aap,you
یا,ya,or
تھا,tha,had
فہرست,fehrist,the
کے,ke,of
کرنے کے لئے,karne ke liye,to
اور,aur,and
ایک,ek,a
میں,mein,in
ہم,hum,we
کر سکتے ہیں,kar saktay hain,can
باہر,baahar,out
دیگر,degaar,other
تھے,they,were
جس,jis,which
کر,kar,do
ان,in,their
وقت,waqt,time
اگر,agar,if
گا,ga,will
کس طرح,kis tarah,how
انہوں نے کہا کہ,unhoon ne kaha ke,said
ایک,ek,an
ہر ایک,har ek,each
بتانا,batana,tell
کرتا ہے,karta hai,does
سیٹ,set,set
تین,teen,three
چاہتے ہیں,chahte hain,want
ہوا,hawaa,air
اچھی طرح سے,achhi tarah se,well
بھی,bhi,also
ادا,ada,play
چھوٹے,chhote,small
آخر,aakhir,end
ڈال,dal,put
گھر,ghar,home
پڑھیں,parhain,read
ہاتھ,haath,hand
پورٹ,port,port
بڑے,bare,large
جادو,jaadu,spell
شامل,shamil,add
بھی,bhi,even
ملک,mulk,land
یہاں,yahan,here
ضروری,zaroori,must
بڑا,bara,big
اعلی,aala,high
اس طرح,is tarah,such
فالو کریں,follow karain,follow
ایکٹ,act,act
کیوں,kyon,why
پوچھنا,poochhna,ask
مردوں کے,mardon ke,men
تبدیلی,tabdeeli,change
گیا,gaya,went
روشنی,roshni,light
قسم,qism,kind
بند,band,off
ضرورت,zarurat,need
گھر,ghar,house
تصویر,tasveer,picture
کوشش,koshish,try
ہم,hum,us
پھر,phir,again
جانور,janwar,animal
نقطہ,nuqta,point
ماں,maan,mother
دنیا,duniya,world
قریب,qareeb,near
تعمیر,tameer,build
خود,khud,self
زمین,zameen,earth
والد,walid,father